Area;Player Direction;Pass Direction;Offensive Action;Footwork;Make/Miss;Off Dribble Hand;Defender Distance;PTS;Year
Right Corner;Away From Hoop;Left;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Stationary;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Wing;Left;Off the Dribble;Spot Up;1-2 Left/Right;Miss;Left;Close;0;2024-2025
Right Wing;Left;Left;Spot Up;1-2 Right/Left;Miss;Catch & Shoot;Tight;0;2024-2025
Top;Away From Hoop;Left;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Corner;Away From Hoop;Right;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Right;From Hoop;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Away From Hoop;Left;Pin Down;1-2 Right/Left;Make ;Catch & Shoot;Tight;3;2024-2025
Right Corner;Right;Left;Post Kick Out;Hop  ;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Stationary;Left;Spot Up;Hop  ;Miss;Catch & Shoot;Open;0;2024-2025
Top;Left;From Hoop;DHO;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Stationary;From Hoop;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Left;Off the Dribble;DHO;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Left Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
